CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A001;A002;A003_01;A004;A005_01;A006_01;A007;A007_01;A007_02;A007_03;A007_04;A007_05;A007_06;A007_07;A101_01;A102_01;A103_01;A104_01;A105_01;A106_01;A107_01;A108_01;A109_01;A110_01;A111_01;A112_01;A113_01;A114_01;A115_01;A177_01;A201;A201_01;A201_04;A201_02;A201_05;A201_03;A201_06;A202;A202_01;A202_04;A202_02;A202_05;A202_03;A202_06;A203;A203_01;A203_04;A203_02;A203_05;A203_03;A203_06;A204;A204_01;A204_04;A204_02;A204_05;A204_03;A204_06;RG01_CP;RG01;RG09_01;RG09_02;RG09_03;RG09_04;RG09_05;RG09_06;RG09_07;RG09_08;RG09_09;RG09_10;RG09_11;RG09_12;RG09_13;RG09_14;RG09_15;V101_01;V101_02;V101_03;V101_04;V101_05;V101_06;V101_07;V101_08;V101_09;V101_10;V101_11;V101_12;V101_13;V101_14;V101_15;V102_01;V102_02;V102_03;V102_04;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
195;CASE000194;194;group2;interview;2025-02-18 16:15:39;35;2;4;;4;4;3;1;1;2;2;1;1;2;4;6;1;2;3;5;6;4;3;3;5;6;2;4;6;;2;1;2;1;1;1;2;3;1;2;1;2;1;2;2;2;1;1;1;2;1;3;2;2;2;1;1;1;;;8;5;1;2;14;10;7;9;3;6;11;4;12;15;13;card_8_nothing.jpg;card_5_nothing.jpg;card_1_heroic.png;card_2_nothing.jpg;card_14_nothing.jpg;card_10_heroic.jpg;card_7_heroic.jpg;card_9_cute.jpg;card_3_cute.png;card_6_cute.jpg;card_11_nothing.jpg;card_4_heroic.jpg;card_12_cute.jpg;card_15_cute.jpg;card_13_heroic.jpg;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;50;105;44;45;503;62;43;52;31;34;8101;37;32;48;35;33;12;12;9;10;2;48;797;;2025-02-18 18:51:27;;1;0;22;22;19;5;0,86
196;;;starting_point;interview;2025-02-18 16:16:40;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;9;;;;;;;;;;;;;;;;;;;;;45;;2025-02-18 16:17:25;;0;0;2;2;0;0;0,58
197;CASE000196;196;group3;interview;2025-02-18 16:17:26;12;2;4;;4;5;2;1;1;2;2;1;1;1;4;7;5;3;3;3;4;4;3;4;4;5;4;4;3;the images on some of the cards were black, maybe broken?;3;2;1;2;1;2;1;2;2;2;1;1;1;1;3;1;2;1;2;1;2;2;1;1;1;2;1;2;;;8;5;11;4;2;9;3;13;1;6;10;14;15;7;12;card_8_cute.jpg;card_5_cute.jpg;card_11_cute.jpg;card_4_nothing.jpg;card_2_cute.png;card_9_heroic.jpg;card_3_heroic.png;card_13_nothing.jpg;card_1_nothing.jpg;card_6_heroic.jpg;card_10_nothing.jpg;card_14_cute.jpg;card_15_heroic.jpg;card_7_nothing.jpg;card_12_heroic.jpg;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;45;57;49;23;32;79;64;23;39;23;51;23;38;21;25;20;17;30;9;27;40;21;721;;2025-02-18 16:30:02;;1;0;22;22;17;4;0,97
198;;;starting_point;interview;2025-02-18 16:18:18;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;;;;;;;;;;;;;;;;;;;;;10;;2025-02-18 16:18:28;;0;0;2;2;0;0;2,59
199;CASE000198;198;group2;interview;2025-02-18 16:18:28;16;2;5;;4;4;1;1;1;2;1;1;1;1;4;4;3;4;4;4;4;5;5;2;4;4;4;4;4;;2;2;1;2;1;1;1;2;1;2;1;1;1;2;2;1;2;1;1;1;2;2;2;1;1;1;2;1;;;9;6;1;14;10;4;15;7;3;12;13;11;5;2;8;card_9_cute.jpg;card_6_cute.jpg;card_1_heroic.png;card_14_nothing.jpg;card_10_heroic.jpg;card_4_heroic.jpg;card_15_cute.jpg;card_7_heroic.jpg;card_3_cute.png;card_12_cute.jpg;card_13_heroic.jpg;card_11_nothing.jpg;card_5_nothing.jpg;card_2_nothing.jpg;card_8_nothing.jpg;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_2_cute.png;27;75;37;52;38;20;26;37;33;19;18;23;19;50;14;22;12;6;9;7;3;25;572;;2025-02-18 16:28:00;;1;0;22;22;19;5;1,39
200;;;starting_point;interview;2025-02-18 16:36:15;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;6;;;;;;;;;;;;;;;;;;;;;53;;2025-02-18 16:37:08;;0;0;2;2;0;0;0,65
201;CASE000200;200;group1;interview;2025-02-18 16:37:08;17;2;4;;4;4;4;1;2;2;1;2;1;2;2;6;7;5;6;2;7;6;6;4;4;6;4;4;5;;2;2;1;2;1;1;1;3;1;2;1;2;1;2;3;2;1;2;1;2;1;2;1;2;1;1;1;2;;;12;4;5;11;3;1;14;6;8;13;2;7;9;15;10;card_12_nothing.jpg;card_4_cute.png;card_5_heroic.jpg;card_11_heroic.jpg;card_3_nothing.jpg;card_1_cute.png;card_14_heroic.jpg;card_6_nothing.jpg;card_8_heroic.jpg;card_13_cute.jpg;card_2_heroic.jpg;card_7_cute.jpg;card_9_nothing.jpg;card_15_nothing.jpg;card_10_cute.jpg;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_heroic.png;42;57;38;39;36;49;33;33;33;71;34;22;33;19;37;30;33;14;10;9;2;47;721;;2025-02-18 16:49:09;;1;0;22;22;19;5;0,97
202;;;starting_point;interview;2025-02-18 17:21:14;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232;5;;;;;;;;;;;;;;;;;;;;;27;;2025-02-18 17:25:11;;0;0;2;2;0;0;0,55
203;CASE000202;202;group1;interview;2025-02-18 17:25:11;10;2;5;;3;4;2;1;2;2;1;1;1;1;3;6;4;3;7;4;1;3;6;1;4;4;3;7;7;;2;1;2;1;1;1;2;3;1;2;1;2;1;2;3;2;1;2;1;2;1;3;2;1;2;1;2;1;;;15;4;10;13;5;6;12;2;14;1;8;9;7;11;3;card_15_nothing.jpg;card_4_cute.png;card_10_cute.jpg;card_13_cute.jpg;card_5_heroic.jpg;card_6_nothing.jpg;card_12_nothing.jpg;card_2_heroic.jpg;card_14_heroic.jpg;card_1_cute.png;card_8_heroic.jpg;card_9_nothing.jpg;card_7_cute.jpg;card_11_heroic.jpg;card_3_nothing.jpg;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;63;135;91;113;41;87;84;25;48;37;29;45;245;298;82;42;26;20;10;11;11;39;1048;;2025-02-18 17:51:33;;1;0;22;22;19;5;0,61
205;;;starting_point;interview;2025-02-18 17:46:17;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;6;;;;;;;;;;;;;;;;;;;;;35;;2025-02-18 17:46:52;;0;0;2;2;0;0;0,79
206;CASE000205;205;group3;interview;2025-02-18 17:46:52;19;2;5;;4;4;2;1;1;1;2;1;2;1;5;4;6;6;5;1;5;4;4;4;4;4;4;4;2;;2;2;1;1;1;2;1;3;1;2;1;2;1;2;2;1;1;1;2;1;2;3;2;1;2;1;2;1;;;15;3;4;10;5;1;11;8;14;2;9;7;6;13;12;card_15_heroic.jpg;card_3_heroic.png;card_4_nothing.jpg;card_10_nothing.jpg;card_5_cute.jpg;card_1_nothing.jpg;card_11_cute.jpg;card_8_cute.jpg;card_14_cute.jpg;card_2_cute.png;card_9_heroic.jpg;card_7_nothing.jpg;card_6_heroic.jpg;card_13_nothing.jpg;card_12_heroic.jpg;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;36;88;60;56;117;73;52;66;50;58;56;51;59;47;42;52;24;14;16;12;28;22;1079;;2025-02-18 18:04:51;;1;0;22;22;19;5;0,66
207;;;starting_point;interview;2025-02-18 17:47:33;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;;;;;;;;;;;;;;;;;;;;11;;2025-02-18 17:47:44;;0;0;2;2;0;0;2,00
208;CASE000207;207;group2;interview;2025-02-18 17:47:44;11;2;5;;4;4;1;1;1;1;2;1;1;1;3;4;3;2;4;4;3;4;3;3;6;6;3;4;3;;2;1;2;1;1;1;2;3;1;2;1;2;1;2;2;2;1;1;1;2;1;2;2;1;2;1;1;1;;;9;3;4;12;11;6;8;14;10;2;7;13;15;5;1;card_9_cute.jpg;card_3_cute.png;card_4_heroic.jpg;card_12_cute.jpg;card_11_nothing.jpg;card_6_cute.jpg;card_8_nothing.jpg;card_14_nothing.jpg;card_10_heroic.jpg;card_2_nothing.jpg;card_7_heroic.jpg;card_13_heroic.jpg;card_15_cute.jpg;card_5_nothing.jpg;card_1_heroic.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;23;44;28;26;22;30;28;27;35;20;90;73;24;85;23;3440;13;10;8;6;2;21;671;;2025-02-18 18:55:43;;1;0;22;22;19;5;1,24
209;;;starting_point;interview;2025-02-18 17:52:17;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;3;;;;;;;;;;;;;;;;;;;;;44;;2025-02-18 17:53:01;;0;0;2;2;0;0;1,10
210;CASE000209;209;group2;interview;2025-02-18 17:53:01;17;2;4;;4;4;3;1;1;1;2;1;2;2;4;5;3;4;3;4;3;6;4;5;4;5;6;6;5;;3;2;1;2;1;1;2;3;1;2;1;2;1;2;3;2;1;2;1;2;1;4;1;2;2;2;1;2;;;5;14;6;15;2;12;9;3;8;13;1;7;11;4;10;card_5_nothing.jpg;card_14_nothing.jpg;card_6_cute.jpg;card_15_cute.jpg;card_2_nothing.jpg;card_12_cute.jpg;card_9_cute.jpg;card_3_cute.png;card_8_nothing.jpg;card_13_heroic.jpg;card_1_heroic.png;card_7_heroic.jpg;card_11_nothing.jpg;card_4_heroic.jpg;card_10_heroic.jpg;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_cute.png;MC_card_1_heroic.png;31;55;32;33;25;60;22;17;37;66;29;38;35;20;17;14;13;9;7;6;2;6;574;;2025-02-18 18:02:35;;1;0;22;22;19;5;1,46
213;;;starting_point;interview;2025-02-18 18:28:46;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;12;;;;;;;;;;;;;;;;;;;;;16;;2025-02-18 18:29:02;;1;0;2;2;0;0;1,71
214;;;starting_point;interview;2025-02-18 18:29:10;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;;;;;;;;;;;;;;;;;;;;;8;;2025-02-18 18:29:18;;0;0;2;2;0;0;2,00
215;CASE000214;214;group1;interview;2025-02-18 18:29:18;12;2;1;;1;4;1;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;15;4;10;6;3;12;2;8;11;7;13;14;1;9;card_5_heroic.jpg;;;;;;;;;;;;;;;;;;;34;7393;;;;;;;;;;;;;;;;;;;;;129;;2025-02-18 20:33:05;;0;0;2;2;0;0;0,51
216;;;starting_point;interview;2025-02-18 19:13:16;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;7;;;;;;;;;;;;;;;;;;;;;11;;2025-02-18 19:13:27;;0;0;2;2;0;0;1,86
217;CASE000216;216;group3;interview;2025-02-18 19:13:27;14;2;3;;4;4;3;1;2;2;1;1;2;1;4;4;4;4;4;4;5;4;3;5;4;4;3;4;4;;3;1;2;1;2;1;2;3;2;1;2;1;2;1;3;2;1;2;1;2;1;2;1;2;1;1;1;2;;;2;3;10;11;6;15;13;1;8;5;7;9;12;4;14;card_2_cute.png;card_3_heroic.png;card_10_nothing.jpg;card_11_cute.jpg;card_6_heroic.jpg;card_15_heroic.jpg;card_13_nothing.jpg;card_1_nothing.jpg;card_8_cute.jpg;card_5_cute.jpg;card_7_nothing.jpg;card_9_heroic.jpg;card_12_heroic.jpg;card_4_nothing.jpg;card_14_cute.jpg;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_2_heroic.png;40;238;28;26;24;29;24;28;19;37;27;19;14;17;16;15;13;10;5;6;3;5;643;;2025-02-18 19:24:10;;1;0;22;22;19;5;1,59
219;;;starting_point;interview;2025-02-18 19:29:02;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208;10;;;;;;;;;;;;;;;;;;;;;32;;2025-02-18 19:32:40;;0;0;2;2;0;0;0,30
220;CASE000219;219;group2;interview;2025-02-18 19:32:40;11;2;5;;4;4;2;2;1;1;1;1;1;2;1;1;3;5;6;4;4;2;4;6;5;5;5;4;3;There were several cards (abut five, i believe) that showed no artwork (instead, a black screen) on my end, in those cases i moved the bar on the scale, which asked for the amount of pleasure looking at this card, to the most far left.;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;1;1;;;12;1;13;3;4;11;7;2;6;14;9;10;5;8;15;card_12_cute.jpg;card_1_heroic.png;card_13_heroic.jpg;card_3_cute.png;card_4_heroic.jpg;card_11_nothing.jpg;card_7_heroic.jpg;card_2_nothing.jpg;card_6_cute.jpg;card_14_nothing.jpg;card_9_cute.jpg;card_10_heroic.jpg;card_5_nothing.jpg;card_8_nothing.jpg;card_15_cute.jpg;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;134;523;127;78;136;112;166;108;108;95;1149;102;75;83;95;63;98;54;78;24;248;11;1368;;2025-02-18 20:33:47;;1;0;22;22;12;3;0,36
222;;;starting_point;interview;2025-02-18 22:01:40;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;7;;2025-02-18 22:01:47;;0;0;2;2;0;0;2,33
223;CASE000222;222;group1;interview;2025-02-18 22:01:47;10;2;5;;4;4;1;1;1;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;7;14;13;9;5;6;4;11;3;1;2;15;12;10;card_8_heroic.jpg;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;38;;2025-02-18 22:02:25;;0;0;1;1;0;0;0,89
224;;;starting_point;interview;2025-02-19 05:47:31;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;;;;;;;;;;;;;;;;;;;;;9;;2025-02-19 05:47:40;;0;0;2;2;0;0;2,13
225;CASE000224;224;group2;interview;2025-02-19 05:47:40;3;2;3;;2;5;1;1;1;1;1;1;2;1;3;4;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;7;5;4;6;13;2;15;3;8;9;10;12;14;1;card_11_nothing.jpg;card_7_heroic.jpg;card_5_nothing.jpg;card_4_heroic.jpg;card_6_cute.jpg;;;;;;;;;;;;;;;34;63;38;24;18;;;;;;;;;;;;;;;;;;177;;2025-02-19 05:50:37;;0;0;5;5;15;4;1,59
233;;;starting_point;interview;2025-02-19 10:23:40;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;22;;;;;;;;;;;;;;;;;;;;;58;;2025-02-19 10:24:55;;0;0;2;2;0;0;0,32
234;CASE000233;233;group3;interview;2025-02-19 10:24:55;5;2;1;;2;3;1;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;13;9;7;8;3;15;6;5;4;1;14;11;10;12;card_2_cute.png;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;42;;2025-02-19 10:25:37;;0;0;1;1;0;0;0,88
236;;;starting_point;interview;2025-02-19 10:25:53;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;7;;;;;;;;;;;;;;;;;;;;;62;;2025-02-19 10:26:55;;0;0;2;2;0;0;0,55
238;CASE000236;236;group1;interview;2025-02-19 10:26:55;12;2;4;;2;4;2;1;1;2;1;1;1;2;3;4;1;6;4;2;1;5;4;3;5;2;4;6;4;;3;2;1;2;1;2;1;2;1;2;1;1;1;2;2;1;1;2;1;1;2;3;1;2;1;2;1;2;;;4;11;12;10;6;1;3;9;7;15;13;2;8;5;14;card_4_cute.png;card_11_heroic.jpg;card_12_nothing.jpg;card_10_cute.jpg;card_6_nothing.jpg;card_1_cute.png;card_3_nothing.jpg;card_9_nothing.jpg;card_7_cute.jpg;card_15_nothing.jpg;card_13_cute.jpg;card_2_heroic.jpg;card_8_heroic.jpg;card_5_heroic.jpg;card_14_heroic.jpg;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;48;198;78;39;79;308;30;42;579;38;27;41;27;37;38;41;17;36;17;8;2;43;925;;2025-02-19 10:56:29;;1;0;22;22;19;5;0,74
240;;;starting_point;interview;2025-02-19 13:07:31;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1036;11;;;;;;;;;;;;;;;;;;;;;33;;2025-02-19 13:24:58;;0;0;2;2;0;0;0,24
242;;;starting_point;interview;2025-02-19 13:25:34;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;1;;;;;;;;;;;;;;;;;;;;;30;;2025-02-19 13:26:04;;0;0;2;2;0;0;1,87
243;CASE000242;242;group3;interview;2025-02-19 13:26:04;3;2;3;;4;4;1;1;1;1;1;1;2;1;5;4;5;4;4;3;6;4;4;3;4;4;2;4;3;;3;1;2;2;1;1;2;3;2;1;2;1;2;1;2;1;2;1;1;1;2;3;1;1;2;2;1;2;;;5;13;10;7;4;9;3;14;11;1;8;6;12;2;15;card_5_cute.jpg;card_13_nothing.jpg;card_10_nothing.jpg;card_7_nothing.jpg;card_4_nothing.jpg;card_9_heroic.jpg;card_3_heroic.png;card_14_cute.jpg;card_11_cute.jpg;card_1_nothing.jpg;card_8_cute.jpg;card_6_heroic.jpg;card_12_heroic.jpg;card_2_cute.png;card_15_heroic.jpg;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;26;232;192;116;37;149;51;28;290;116;30;24;48;41;61;34;35;11;14;13;2;52;890;;2025-02-19 13:52:47;;1;0;22;22;19;5;0,79
244;;;starting_point;interview;2025-02-20 03:30:41;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;;;;;;;;;;;;;;;;;;;;;8;;2025-02-20 03:30:49;;0;0;2;2;0;0;2,00
245;CASE000244;244;group1;interview;2025-02-20 03:30:49;12;2;1;;1;5;1;2;1;1;1;1;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;9;10;1;7;4;15;13;8;2;11;3;6;5;14;card_12_nothing.jpg;card_9_nothing.jpg;;;;;;;;;;;;;;;;;;15;49;5;;;;;;;;;;;;;;;;;;;;69;;2025-02-20 03:31:58;;0;0;3;3;9;2;2,40
246;;;starting_point;interview;2025-02-20 03:32:06;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;3;;2025-02-20 03:32:09;;0;0;2;2;0;0;3,00
247;CASE000246;246;group2;interview;2025-02-20 03:32:10;12;2;2;;1;4;1;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;7;2;14;11;4;15;13;5;1;12;9;3;6;10;card_8_nothing.jpg;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;16;;2025-02-20 03:32:26;;0;0;1;1;0;0;2,00
249;;;starting_point;interview;2025-02-20 21:57:34;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;5;;2025-02-20 21:57:39;;0;0;2;2;0;0;2,75
250;CASE000249;249;group1;interview;2025-02-20 21:57:39;12;2;1;;1;4;1;2;1;1;1;1;1;1;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;14;8;3;15;2;10;4;12;11;1;6;13;7;9;card_5_heroic.jpg;card_14_heroic.jpg;card_8_heroic.jpg;;;;;;;;;;;;;;;;;19;140;46;;;;;;;;;;;;;;;;;;;;205;;2025-02-20 22:01:04;;0;0;3;3;13;3;1,14
252;;;starting_point;interview;2025-02-20 21:58:12;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114;11;;;;;;;;;;;;;;;;;;;;;33;;2025-02-20 22:00:17;;0;0;2;2;0;0;0,32
253;CASE000252;252;group3;interview;2025-02-20 22:00:17;11;2;4;;4;5;2;1;1;1;1;1;2;2;3;2;4;6;7;7;6;3;6;6;5;5;7;3;5;Leider waren eininge Bilder bugged, sodass man nur einen schwarzen Kasten sehen konnte.;3;2;1;2;1;2;1;2;1;2;1;1;1;2;3;1;2;1;2;1;2;2;2;1;2;1;1;1;;;9;12;2;10;4;7;14;1;8;3;13;15;5;6;11;card_9_heroic.jpg;card_12_heroic.jpg;card_2_cute.png;card_10_nothing.jpg;card_4_nothing.jpg;card_7_nothing.jpg;card_14_cute.jpg;card_1_nothing.jpg;card_8_cute.jpg;card_3_heroic.png;card_13_nothing.jpg;card_15_heroic.jpg;card_5_cute.jpg;card_6_heroic.jpg;card_11_cute.jpg;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;33;49;169;35;38;49;74;93;31;46;20;64;46;26;29;42;14;13;9;21;44;9;770;;2025-02-20 22:16:11;;1;0;22;22;17;4;0,90
258;;;starting_point;interview;2025-02-21 15:47:48;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;3;;;;;;;;;;;;;;;;;;;;;50;;2025-02-21 15:48:39;;0;0;2;2;0;0;1,06
259;;;starting_point;interview;2025-02-21 15:48:14;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231;4;;;;;;;;;;;;;;;;;;;;;26;;2025-02-21 15:52:09;;0;0;2;2;0;0;0,67
260;CASE000258;258;group3;interview;2025-02-21 15:48:39;11;2;2;;1;4;2;2;1;1;1;1;2;1;4;4;5;5;4;4;6;5;4;5;4;5;4;4;4;;6;2;2;2;2;2;2;2;1;2;1;1;1;2;3;1;2;1;2;1;2;3;1;2;1;2;1;2;;;11;1;7;14;2;13;3;5;4;6;15;12;9;8;10;card_11_cute.jpg;card_1_nothing.jpg;card_7_nothing.jpg;card_14_cute.jpg;card_2_cute.png;card_13_nothing.jpg;card_3_heroic.png;card_5_cute.jpg;card_4_nothing.jpg;card_6_heroic.jpg;card_15_heroic.jpg;card_12_heroic.jpg;card_9_heroic.jpg;card_8_cute.jpg;card_10_nothing.jpg;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;37;114;63;37;31;36;50;31;34;73;72;29;35;15;37;31;47;18;10;7;2;11;820;;2025-02-21 16:02:20;;1;0;22;22;19;5;1,05
263;CASE000259;259;group2;interview;2025-02-21 15:52:09;12;2;4;;2;4;3;2;1;1;1;1;2;2;5;4;2;6;2;6;7;2;3;4;6;5;6;4;6;;2;1;2;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;2;1;2;2;1;2;1;1;1;;;8;11;1;2;9;4;14;12;15;5;13;10;7;3;6;card_8_nothing.jpg;card_11_nothing.jpg;card_1_heroic.png;card_2_nothing.jpg;card_9_cute.jpg;card_4_heroic.jpg;card_14_nothing.jpg;card_12_cute.jpg;card_15_cute.jpg;card_5_nothing.jpg;card_13_heroic.jpg;card_10_heroic.jpg;card_7_heroic.jpg;card_3_cute.png;card_6_cute.jpg;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;44;93;39;32;22;39;19;32;22;44;121;29;31;26;21;24;14;7;8;6;2;29;704;;2025-02-21 16:03:53;;1;0;22;22;19;5;1,24
264;;;starting_point;interview;2025-02-21 16:02:42;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;2;;;;;;;;;;;;;;;;;;;;;14;;2025-02-21 16:02:56;;0;0;2;2;0;0;2,15
